source_user_id,source_skill_code,target_interaction_id,target_end_time,success_count,success_rate,support_count,support_rate,first_three_success_rate,last_three_success_rate,trend,alternations,success_support_overlap_count,current_independence_estimate,current_zpd_score,zpd_action,zpd_decision,attempt_1_score,attempt_1_support,attempt_2_score,attempt_2_support,attempt_3_score,attempt_3_support,attempt_4_score,attempt_4_support,attempt_5_score,attempt_5_support,attempt_6_score,attempt_6_support,mixedness,alternation_rate,fit_consistently_strong,fit_consistently_struggling,fit_improving,fit_declining,fit_mixed_noisy,fit_support_mixed,_random_tiebreak,hidden_pattern_category,case_id,Attempt 1,Attempt 2,Attempt 3,Attempt 4,Attempt 5,Attempt 6
e91d90821c795cf5330e966223c38087b50285eadf8fbd13a52faae9cc1e56fe,102,74712055,2020-11-16 16:15:10.652000+00:00,3,0.5,2,0.3333333333333333,1.0,0.0,-1.0,1,0,0.6580424308776855,0.8101626564693185,1,Provide scaffold,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.2,0.6666666666666666,1.3,-2.3,3.2,0.55,1.5,0.00248271797567301,declining,CASE_01,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: No,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes
62e3006f0ca2925701d5ef89ec7508e964fccd580b6715aa76bec56d875ad002,96,104421011,2021-02-22 20:34:46.081000+00:00,6,1.0,0,0.0,1.0,1.0,0.0,0,0,0.8556427955627441,0.24410793946396162,0,Allow independent attempt,1,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0008723903095170238,consistently_strong,CASE_02,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
6fc2de10771b7bac1a6185d2426fb4b42c64963cfa0ce807298c464219febbf2,1,118208838,2021-04-14 16:41:47.892000+00:00,6,1.0,0,0.0,1.0,1.0,0.0,0,0,0.7169618010520935,0.6588736233616929,1,Provide scaffold,1,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.00043352623637404886,consistently_strong,CASE_03,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
3ae685a71c46c10b84c2383717c9b4af784b995620539dbd0ca021eeff879745,1,186842310,2024-03-12 03:11:33.172000+00:00,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0.47584402561187744,0.9953373589741187,1,Provide scaffold,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,-0.25,2.5,0.0,0.5,0.0,1.2,0.00015390186269581552,consistently_struggling,CASE_04,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes
19dd0ef62dcb3b39fc852bd26cd0cea036c28a31689e42bf529d412c8c8ea42e,88,73746524,2020-11-12 20:41:35.274000+00:00,3,0.5,3,0.5,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0,0.1553787738084793,0.2755670869670849,0,Allow independent attempt,1,0,0,1,1,0,0,1,1,0,0,1,1.0,1.0,0.9583333333333334,1.2666666666666668,-0.4666666666666666,1.3666666666666665,2.25,2.1,0.03429675974019486,support_mixed,CASE_05,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes
e50b9b525452be73aba7c9f53ba5f2744867587199694575effacacfcb2f9136,102,181329250,2023-11-30 16:05:40.504000+00:00,6,1.0,0,0.0,1.0,1.0,0.0,0,0,0.8856546878814697,0.1640913026556581,0,Allow independent attempt,1,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0005077667676831599,consistently_strong,CASE_06,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
f32d3d29277706b7dbba01c8cc239de35fb721e0c0f708dfedb46b0cedbc8b5b,129,84958775,2020-12-14 13:08:22.672000+00:00,3,0.5,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0,0.8757448792457581,0.18945400355183217,0,Allow independent attempt,1,0,0,1,1,0,0,0,1,0,0,1,1.0,1.0,1.0000000000000002,1.2666666666666668,-0.4666666666666666,1.3666666666666665,2.25,1.9,0.0068984765026027794,mixed_noisy,CASE_07,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes
35a83e3f4f2d2e021f99650e11b9882dce93413f4b21a8d181df5ec92ccfae0e,5,119325089,2021-04-19 19:07:04.808000+00:00,3,0.5,1,0.16666666666666666,0.0,1.0,1.0,1,0,0.8213014602661133,0.34464118895912627,0,Allow independent attempt,0,0,0,1,0,0,1,0,1,0,1,0,1.0,0.2,1.2083333333333333,0.8,3.2,-2.3,0.55,1.3,0.010007551970528938,improving,CASE_08,No independent first-try success | Support used: No,No independent first-try success | Support used: Yes,No independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
7378f155749e83582dc619343b0eddb45a8a689c43b876c96ec1f3ba6e0d8f9d,91,98144512,2021-02-02 14:17:39.160000+00:00,3,0.5,1,0.16666666666666666,0.0,1.0,1.0,1,0,0.6974677443504333,0.712379820756567,1,Provide scaffold,0,1,0,0,0,0,1,0,1,0,1,0,1.0,0.2,1.2083333333333333,0.8,3.2,-2.3,0.55,1.3,0.00465242913017716,improving,CASE_09,No independent first-try success | Support used: Yes,No independent first-try success | Support used: No,No independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
3e18c5c4ecca4220f861919e94017ad3f87ad65f04a1c5a659fcdbab3524a598,96,181634598,2023-12-05 15:55:22.186000+00:00,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0.08143433928489685,0.08952731269155882,0,Allow independent attempt,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,-0.25,2.5,0.0,0.5,0.0,1.2,0.001790218642747643,consistently_struggling,CASE_10,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes
f807f2b9a71ef5599603d1417eb3a84d8abcfa5b11b7fb4e5e901a3edf4ee923,91,148643492,2022-02-17 21:25:28.346000+00:00,3,0.5,2,0.3333333333333333,1.0,0.0,-1.0,1,0,0.13250909745693207,0.21141764580151162,0,Allow independent attempt,1,0,1,0,1,0,0,1,0,1,0,0,1.0,0.2,0.6666666666666666,1.3,-2.3,3.2,0.55,1.5,0.02605798593484121,declining,CASE_11,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: No
9adb692c735180022c8e73d8029b438aab22b4ae00e265c1deb45b0fffa750f7,96,69692643,2020-11-04 16:26:15.891000+00:00,3,0.5,2,0.3333333333333333,0.0,1.0,1.0,1,0,0.6780003905296326,0.7625890424262279,1,Provide scaffold,0,1,0,1,0,0,1,0,1,0,1,0,1.0,0.2,1.1666666666666667,0.8,3.2,-2.3,0.55,1.5,0.00041614952944057926,improving,CASE_12,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
eb7ddb5b6c438525525bd98b8d2f82d7fe20943071a3b2cb7147997ff15eb020,95,119001957,2021-04-16 20:39:34.920000+00:00,3,0.5,3,0.5,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0,0.5875019431114197,0.9396852535524843,1,Provide scaffold,1,0,0,1,1,0,0,1,1,0,0,1,1.0,1.0,0.9583333333333334,1.2666666666666668,-0.4666666666666666,1.3666666666666665,2.25,2.1,0.004159114917280715,support_mixed,CASE_13,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes
f93d674ccdff94b3192eedbd82217340f35e24f83f18ddf4f1bbb677708e80e5,91,171597703,2023-03-17 01:04:14.814000+00:00,3,0.5,3,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,5,0,0.18028709292411804,0.3494401486528415,0,Allow independent attempt,0,1,1,0,0,1,1,0,0,1,1,0,1.0,1.0,1.125,1.1,1.3666666666666665,-0.4666666666666665,2.25,2.1,0.0770255637065812,support_mixed,CASE_14,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No
24f5cf00137be7ab219e674e5c88d4a40a29f1ea29f4f9dda67ebc05b9212f9d,53,158991741,2022-09-14 23:16:23.079000+00:00,3,0.5,1,0.16666666666666666,1.0,0.0,-1.0,1,0,0.7875537872314453,0.44789727283079,0,Allow independent attempt,1,0,1,0,1,0,0,0,0,0,0,1,1.0,0.2,0.7083333333333334,1.3,-2.3,3.2,0.55,1.3,0.001382016797714214,declining,CASE_15,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: No,No independent first-try success | Support used: No,No independent first-try success | Support used: Yes
0dbf84f4e91627089e3e31a30d04bb43774c7f7c4c02473b76d9589043e252d7,53,47025806,2020-09-22 13:51:57.053000+00:00,3,0.5,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0,0.7767128348350525,0.48124747745670854,0,Allow independent attempt,1,0,0,0,1,0,0,1,1,0,0,1,1.0,1.0,1.0000000000000002,1.2666666666666668,-0.4666666666666666,1.3666666666666665,2.25,1.9,0.005199468556001063,mixed_noisy,CASE_16,Independent first-try success | Support used: No,No independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes
369797e949b5a8deab0a1c57d0718e72488b80aef08924e2e7875c0271437f5f,91,25599691,2020-05-13 15:09:12.505000+00:00,3,0.5,3,0.5,0.0,1.0,1.0,1,0,0.8380324244499207,0.29477984766422166,0,Allow independent attempt,0,1,0,1,0,1,1,0,1,0,1,0,1.0,0.2,1.125,0.8,3.2,-2.3,0.55,1.7000000000000002,0.0006342775343677332,improving,CASE_17,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
49e3ac547947bc46d06791b73b28373061518219c9c46a3c795d8623ca808c7b,9,156741372,2022-06-01 20:41:27.823000+00:00,3,0.5,3,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,5,0,0.5999539494514465,0.9216707187125559,1,Provide scaffold,0,1,1,0,0,1,1,0,0,1,1,0,1.0,1.0,1.125,1.1,1.3666666666666665,-0.4666666666666665,2.25,2.1,0.001488688955692541,support_mixed,CASE_18,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No
b38f22737b220290a96bb87104a39715aaa7c926a534b2577599125735e936e1,102,140122869,2021-11-29 20:41:44.364000+00:00,3,0.5,3,0.5,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0,0.26524215936660767,0.6077060370722668,1,Provide scaffold,1,0,0,1,1,0,0,1,1,0,0,1,1.0,1.0,0.9583333333333334,1.2666666666666668,-0.4666666666666666,1.3666666666666665,2.25,2.1,0.006423212863293726,mixed_noisy,CASE_19,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes
41b6604d26423f8e647c54d1ade9e44602a159097f303e8cec46b752088d2651,76,100598223,2021-02-09 14:07:04.172000+00:00,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0.13807065784931183,0.2266032329319846,0,Allow independent attempt,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,-0.25,2.5,0.0,0.5,0.0,1.2,0.0007045538995270606,consistently_struggling,CASE_20,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes
c275346d259610df26077b8aedb4cbd1de18c1485861424071d37dd2993fe5ba,45,190709590,2024-06-10 16:40:06.966000+00:00,6,1.0,0,0.0,1.0,1.0,0.0,0,0,0.7459357380867004,0.5746586795054496,1,Provide scaffold,1,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0001776487367441959,consistently_strong,CASE_21,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No
1811ca0b49da823f9ec3467a7acf641738ecc8ce32a43fdc308e00140185955d,64,96222267,2021-01-27 16:21:07.946000+00:00,0,0.0,5,0.8333333333333334,0.0,0.0,0.0,0,0,0.3553408980369568,0.8395964846499917,1,Provide scaffold,0,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,-0.20833333333333334,2.5,0.0,0.5,0.0,1.0,0.00010122626621722475,consistently_struggling,CASE_22,No independent first-try success | Support used: No,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes,No independent first-try success | Support used: Yes
0838510b59c45d356fd8efb3c2664833c8c057ec6ea397aad387c5691f5a08fc,134,84900156,2020-12-13 19:31:00.883000+00:00,3,0.5,2,0.3333333333333333,1.0,0.0,-1.0,1,0,0.5536478161811829,0.9771078288171628,1,Provide scaffold,1,0,1,0,1,0,0,1,0,0,0,1,1.0,0.2,0.6666666666666666,1.3,-2.3,3.2,0.55,1.5,0.0005104604068206786,declining,CASE_23,Independent first-try success | Support used: No,Independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,No independent first-try success | Support used: No,No independent first-try success | Support used: Yes
f1492105f6b5a5a10c7ce7403fc05d80e13e2f4763b3261e9d3cb4b9d0f1215d,70,90578493,2021-01-11 21:51:54.527000+00:00,3,0.5,1,0.16666666666666666,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0,0.39761075377464294,0.9178900177863034,1,Provide scaffold,1,0,0,0,1,0,0,1,1,0,0,0,1.0,1.0,1.0416666666666667,1.2666666666666668,-0.4666666666666666,1.3666666666666665,2.25,1.7,0.007226045736722919,mixed_noisy,CASE_24,Independent first-try success | Support used: No,No independent first-try success | Support used: No,Independent first-try success | Support used: No,No independent first-try success | Support used: Yes,Independent first-try success | Support used: No,No independent first-try success | Support used: No
